(
(0.000000	 2.854198e+03)
(0.001000	 2.887999e+03)
(0.002000	 2.925597e+03)
(0.003000	 2.967126e+03)
(0.004000	 3.012713e+03)
(0.005000	 3.062479e+03)
(0.006000	 3.116536e+03)
(0.007000	 3.174988e+03)
(0.008000	 3.237930e+03)
(0.009000	 3.305448e+03)
(0.010000	 3.377617e+03)
(0.011000	 3.454502e+03)
(0.012000	 3.536158e+03)
(0.013000	 3.622627e+03)
(0.014000	 3.713941e+03)
(0.015000	 3.810121e+03)
(0.016000	 3.911173e+03)
(0.017000	 4.017094e+03)
(0.018000	 4.127868e+03)
(0.019000	 4.243466e+03)
(0.020000	 4.363847e+03)
(0.021000	 4.488958e+03)
(0.022000	 4.618733e+03)
(0.023000	 4.753097e+03)
(0.024000	 4.891960e+03)
(0.025000	 5.035223e+03)
(0.026000	 5.182775e+03)
(0.027000	 5.334493e+03)
(0.028000	 5.490247e+03)
(0.029000	 5.649894e+03)
(0.030000	 5.813284e+03)
(0.031000	 5.980257e+03)
(0.032000	 6.150646e+03)
(0.033000	 6.324275e+03)
(0.034000	 6.500963e+03)
(0.035000	 6.680521e+03)
(0.036000	 6.862756e+03)
(0.037000	 7.047468e+03)
(0.038000	 7.234454e+03)
(0.039000	 7.423509e+03)
(0.040000	 7.614424e+03)
(0.041000	 7.806986e+03)
(0.042000	 8.000983e+03)
(0.043000	 8.196202e+03)
(0.044000	 8.392430e+03)
(0.045000	 8.589455e+03)
(0.046000	 8.787064e+03)
(0.047000	 8.985049e+03)
(0.048000	 9.183203e+03)
(0.049000	 9.381323e+03)
(0.050000	 9.579210e+03)
(0.051000	 9.776668e+03)
(0.052000	 9.973508e+03)
(0.053000	 1.016954e+04)
(0.054000	 1.036460e+04)
(0.055000	 1.055849e+04)
(0.056000	 1.075088e+04)
(0.057000	 1.094141e+04)
(0.058000	 1.112970e+04)
(0.059000	 1.131542e+04)
(0.060000	 1.149825e+04)
(0.061000	 1.167788e+04)
(0.062000	 1.185403e+04)
(0.063000	 1.202646e+04)
(0.064000	 1.219491e+04)
(0.065000	 1.235919e+04)
(0.066000	 1.251910e+04)
